Id,R,Nome,Squadra,Pg,Mv,Mf,Gf,Gs,Rp,Rc,R+,R-,Ass,Asf,Amm,Esp,Au,,IV,FV,D,BID,ln(Bid),FV 19/20,FV 20/21,2 YR AVG,PREDICTED VALUE
4465,C,FAGIOLI,Juventus,1,6,6,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,,,,6,,38.84109436
5438,C,KOSZNOVSZKY,Parma,1,5,5,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,,,,5,,6.159933125
4956,P,MANFREDINI,Benevento,1,5,4,0,1,0,0,0,0,0,0,0,0,0,,1,1,0,,,,5,,-26.52122811
574,P,SCUFFET,Udinese,1,5,3,0,2,0,0,0,0,0,0,0,0,0,,1,1,0,,,,5,,-59.20238935
160,P,TATARUSANU,Milan,1,5,2,0,3,0,0,0,0,0,0,0,0,0,,1,1,0,,,,5,,-91.88355058
2733,C,SANOGO,Benevento,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,,,,0,,-157.2458731
4366,D,ARMINI,Lazio,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,,,,0,,-157.2458731
4938,A,MORO,Lazio,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,,,,0,,-157.2458731
5333,P,GASPARINI,Udinese,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,,,,0,,-157.2458731
5365,D,DRAGUSIN,Juventus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,,,,0,,-157.2458731
5408,D,GHISLANDI,Atalanta,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,,,,0,,-157.2458731
5414,A,KARAMOKO IS.,Sassuolo,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,,,,0,,-157.2458731
5419,A,CORREIA,Juventus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,,,,0,,-157.2458731
5421,C,CAMARA D.,Parma,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,,,,0,,-157.2458731
5423,C,BOVE,Roma,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,,,,0,,-157.2458731
5424,D,AMEY,Bologna,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,,,,0,,-157.2458731
5425,C,URBANSKI,Bologna,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,,,,0,,-157.2458731
5436,A,RAIMONDO,Bologna,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,,,,0,,-157.2458731
5443,C,DIAMBO,Benevento,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,,,,0,,-157.2458731
106,D,MATTIELLO,Spezia,1,6,6,0,0,0,0,0,0,0,0,0,0,0,,3,2,-1,,,,6,,38.84109436
2773,A,SPROCATI,Parma,1,5.5,5.5,0,0,0,0,0,0,0,0,0,0,0,,2,1,-1,,,,5.5,,22.50051374
5397,C,KOVALENKO,Atalanta,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,6,2,-4,,,,0,,-157.2458731
434,C,JAJALO,Udinese,1,5.5,5.5,0,0,0,0,0,0,0,0,0,0,0,,6,1,-5,,,,5.5,,22.50051374
3,P,RADUNOVIC,Atalanta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,,,,0,,-157.2458731
216,P,DONNARUMMA AN.,Milan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,,,,0,,-157.2458731
1921,P,ZIMA,Genoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,,,,0,,-157.2458731
1946,P,ARESTI,Cagliari,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,,,,0,,-157.2458731
2297,P,ROSSI F.,Atalanta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,,,,0,,-157.2458731
2790,P,ROSATI,Fiorentina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,,,,0,,-157.2458731
2845,P,CONTINI,Napoli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,,,,0,,-157.2458731
4349,C,NICOLUSSI CAVIGLIA,Parma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,,,,0,,-157.2458731
4351,P,BRANCOLINI,Fiorentina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,,,,0,,-157.2458731
4487,D,FERIGRA,Torino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,,,,0,,-157.2458731
4523,P,AVOGADRI,Sampdoria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,,,,0,,-157.2458731
4867,P,TURATI,Sassuolo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,,,,0,,-157.2458731
4883,P,BREZA,Bologna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,,,,0,,-157.2458731
4929,P,CIOCCI,Cagliari,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,,,,0,,-157.2458731
4955,P,GORI P.,Benevento,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,,,,0,,-157.2458731
4977,P,RAVAGLIA,Sampdoria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,,,,0,,-157.2458731
4981,P,KRAPIKAS,Spezia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,,,,0,,-157.2458731
5060,A,AKE' M.,Juventus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,,,,0,,-157.2458731
5304,P,BOER,Roma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,,,,0,,-157.2458731
5306,P,ALIA,Lazio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,,,,0,,-157.2458731
5316,D,AMIONE,Verona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,,,,0,,-157.2458731
5338,P,RINALDI,Parma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,,,,0,,-157.2458731
5345,P,FARELLI,Roma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,,,,0,,-157.2458731
4917,D,PRODL,Udinese,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,1,-1,,,,0,,-157.2458731
5297,A,LUVUMBO,Cagliari,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,1,-1,,,,0,,-157.2458731
2279,D,ROMAGNA,Sassuolo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5,1,-4,,,,0,,-157.2458731
557,C,BENASSI,Verona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,9,1,-8,,,,0,,-157.2458731
